ID(0)	Property(1)	原文(2)	統制ラベル(3)	対象ID(4)	英語ラベル(5)	絶対時間(6)	Type(7)	担当
	What（何を）	お金			money			川村
	Why（なぜ）	依頼の報酬			reward of request		Object	川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
8	対象文	ヘレンはロイロットと住んでいる			Helen lives with Roylott			川村
	Type							川村
	情報源							川村
	hasPredicate	住む			live			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの屋敷			mansion of Roylott		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
9	対象文	ロイロットは義理の父である			Roylott is my father-in-law			川村
	Type							川村
	情報源							川村
	hasPredicate	equalTo			equalTo			川村
	主語/Who（誰が）	ロイロット			Roylott		Person	川村
	Whom（誰に）	義理の父			father-in-law		Person	川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
10	対象文	ロイロットはインドでヘレンの母と結婚した			Roylott married Helen's mother in India			川村
	Type							川村
	情報源							川村
	hasPredicate	結婚した			getMarried			川村
	主語/Who（誰が）	ロイロット			Roylott			川村
	Whom（誰に）	ヘレンの母			mother of Helen		Person	川村
	Where（どこで）	インド			India		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1873-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
11	対象文	ヘレンとジュリアは姉妹である			Helen and Julia are sisters			川村
	Type							川村
	情報源							川村
	hasPredicate	含む			include			川村
	主語/Who（誰が）	姉妹			sister		Person	川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1873-04-01T10		川村
	What（何を）	ジュリア			Julia		Person	川村
	What（何を）	ヘレン			Helen			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
12	対象文	ヘレンの母は金持ちだった			Helen's mother was rich			川村
	Type							川村
	情報源							川村
	hasPredicate	持つ			have			川村
	主語/Who（誰が）	ヘレンの母			mother of Helen		Person	川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1873-04-01T10		川村
	What（何を）	お金			money			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
13	対象文	お金は１年１０００ポンドである			Money is 1000 pounds a year			川村
	Type							川村
	情報源							川村
	hasPredicate	equalTo			equalTo			川村
	主語/Who（誰が）	お金			money			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	毎年			every year	1873-04-01T10	AbstractTime	川村
	What（何を）	1000ポンド			1000 GBP		Object	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
14	対象文	ヘレンの母はクルーで８年前に亡くなった			Helen's mother died 8 years ago at the crew			川村
	Type							川村
	情報源							川村
	hasPredicate	死ぬ			die			川村
	主語/Who（誰が）	ヘレンの母			mother of Helen		Person	川村
	Whom（誰に）							川村
	Where（どこで）	クルー			Crewe		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	8年前			8 years ago	1875-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
15	対象文	ヘレンの母はお金をロイロットに譲った			Helen's mother yielded money to Roylott			川村
	Type							川村
	情報源							川村
	hasPredicate	与える			give			川村
	主語/Who（誰が）	姉妹の母			mother of sister		Person	川村
	Whom（誰に）	ロイロット			Roylott			川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				death day of mother of Helen	1875-04-01T10	AbstractTime	川村
	What（何を）	お金			money			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
16	対象文	ロイロットはお金をもらう			Roylott takes money			川村
	Type							川村
	情報源							川村
	hasPredicate				take			川村
	主語/Who（誰が）				Roylott			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				death day of mother of Helen	1875-04-01T10	AbstractTime	川村
	What（何を）				money			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		when	17				川村
17	対象文	姉妹がロイロットと住んでいるとき			Sisters live with Roylott			川村
	Type							川村
	情報源							川村
	hasPredicate	住む			live			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの屋敷			mansion of Roylott			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）							川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
18	対象文	お金は姉妹に分けられる			Money can be divided into sisters			川村
	Type							川村
	情報源							川村
	hasPredicate	分ける			beDivided			川村
	主語/Who（誰が）	お金			money			川村
	Whom（誰に）	姉妹			sister		Person	川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）							川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文	姉妹が結婚すると	if	19	When my sister got married			川村
19	対象文	姉妹が結婚すると			When my sister got married			川村
	Type							川村
	情報源							川村
	hasPredicate	結婚する			getMarried			川村
	主語/Who（誰が）	姉妹			sister			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）							川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
20	対象文	ロイロットは姉妹とストークモランで住んでいる			Roylott lives in Stoke Moran with her sister			川村
	Type							川村
	情報源							川村
	hasPredicate	存在する			exist			川村
	主語/Who（誰が）	ロイロットの屋敷			mansion of Roylott			川村
	Whom（誰に）							川村
	Where（どこで）	ストークモラン			Stoke Moran		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
21	対象文	ロイロットは村人と喧嘩する			Roylott fights with the villager			川村
	Type							川村
	情報源							川村
	hasPredicate	喧嘩する			fight			川村
	主語/Who（誰が）	ロイロット			Roylott			川村
	Whom（誰に）	ストークモランの村人			villager of Stoke Moran		Person	川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				occasionally		AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		then	24				川村
22	対象文	ロイロットは怒りやすい			Roylott is easy to get angry			川村
	Type							川村
	情報源							川村
	hasPredicate	怒る			getAngry			川村
	主語/Who（誰が）	ロイロット			Roylott			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	しばしば			occasionally		AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
23	対象文	ロイロットは力が強い			Roylott is strong			川村
	Type							川村
	情報源							川村
	hasProperty	持つ			strengthened			川村
	主語/Who（誰が）	ロイロット			Roylott			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）							川村
	What（何を）	腕力						川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
24	対象文	村人はロイロットから逃げる			Villagers escape from Roylott			川村
	Type							川村
	情報源							川村
	hasPredicate	逃げる			escape			川村
	主語/Who（誰が）	ストークモランの村人			villager of Stoke Moran			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）	ロイロット			Roylott			川村
	To（どこへ）							川村
	When（いつ）				occasionally		AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
25	対象文	ロイロットはロマと付き合う			Roylott goes out with Roma			川村
	Type							川村
	情報源							川村
	hasPredicate	仲がよい			equalTo			川村
	主語/Who（誰が）	ロイロット			Roma		Person	川村
	Whom（誰に）	ロマ			friend of Roylott		Person	川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）							川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		therefore	26				川村
26	対象文	ロマはロイロットの土地で野宿している			Roma is lodging on the land of Roylott			川村
	Type							川村
	情報源							川村
	hasPredicate	住む			live			川村
	主語/Who（誰が）	ロマ			Roma			川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの庭			garden of Roylott		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
27	対象文	ロイロットはインドの動物が好き			Roylott likes animals in India			川村
	Type							川村
	情報源							川村
	hasPredicate	好む			like			川村
	主語/Who（誰が）	ロイロット			Roylott			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）							川村
	What（何を）	インドの動物			animal of India		Animal	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
28	対象文	ロイロットはインドから動物を買う			Roylott buys an animal from India			川村
	Type							川村
	情報源							川村
	hasPredicate	買う			buy			川村
	主語/Who（誰が）	ロイロット			Roylott			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）							川村
	What（何を）	インドの動物			animal of India		Animal	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
29	対象文	ロイロットは豹を飼っている			Roylott keeps a leopard			川村
	Type							川村
	情報源							川村
	hasPredicate	含む			include			川村
	主語/Who（誰が）	インドの動物			animal of India			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-04-01T10		川村
	What（何を）	豹			leopard		Animal	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
30	対象文	ロイロットはヒヒを飼っている			Roylott keeps baboons			川村
	Type							川村
	情報源							川村
	hasPredicate	含む			include			川村
	主語/Who（誰が）	インドの動物			animal of India			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-04-01T10		川村
	What（何を）	ヒヒ			baboon		Animal	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
31	対象文	屋敷には召使いがいない			There is no housekeeper in the mansion			川村
	Type							川村
	情報源							川村
	hasPredicate	not存在する			notExist			川村
	主語/Who（誰が）	召使い			housekeeper		Person	川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの屋敷			mansion of Roylott			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1883-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
32	対象文	ジュリアは３０で亡くなった			Julia died at 30			川村
	Type							川村
	情報源							川村
	hasPredicate	死ぬ			die			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	30歳			30 years old	1881-04-01T10	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
33	対象文	母の妹がハロウに住んでいる			Mother's sister lives in Harrow			川村
	Type							川村
	情報源							川村
	hasPredicate	住む			live			川村
	主語/Who（誰が）	姉妹の母の妹			sister of mother of Helen		Person	川村
	Whom（誰に）							川村
	Where（どこで）	ハロウ			Harrow		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		therefore	34				川村
34	対象文	姉妹はハロウに行った			Sisters went to Harrow			川村
	Type							川村
	情報源							川村
	hasPredicate	行く			go			川村
	主語/Who（誰が）	姉妹			sister			川村
	Whom（誰に）							川村
	Where（どこで）	ハロウ			Harrow			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		then	36				川村
35	対象文	姉妹とはヘレンとジュリアである			Helen and Julia are sisters.			川村
	Type							川村
	情報源							川村
	hasPredicate	含む			include			川村
	主語/Who（誰が）	姉妹			sister			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）							川村
	What（何を）	ヘレン			Helen			川村
	What（何を）	ジュリア			Julia			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
36	対象文	ジュリアは２年前に海軍少佐とハロウで知り合う			Julia gets acquainted with Major Navy two years ago at Harrow			川村
	Type							川村
	情報源							川村
	hasPredicate	会う			meet			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）	海軍少佐			lieutenant commander		Person	川村
	Where（どこで）	ハロウ			Harrow			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	2年前			2 years ago	1881-04-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		then	37				川村
37	対象文	ジュリアは海軍少佐と婚約した			Julia was engaged to Major Navy			川村
	Type							川村
	情報源							川村
	hasPredicate	婚約する			engage			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）	海軍少佐			lieutenant commander			川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-10-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		then	38				川村
38	対象文	ロイロットは婚約に反対しない			Roylott is not against engagement			川村
	Type							川村
	情報源							川村
	hasPredicate	not反対する			notOppose			川村
	主語/Who（誰が）	ロイロット			Roylott			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-10-01T10		川村
	What（何を）	ジュリアの婚約			engagement of Julia		Object	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		then	39				川村
39	対象文	ジュリアは結婚式の２週間前に亡くなった			Julia died two weeks before the wedding ceremony			川村
	Type							川村
	情報源							川村
	hasPredicate	死ぬ			die			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）	結婚式の2週間前			two weeks before the wedding ceremony	1881-12-01T10	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
40	対象文	ジュリアは屋敷の一棟の1階に住んでいる			Julia lives on the ground floor of one of the buildings			川村
	Type							川村
	情報源							川村
	hasPredicate	住む			live			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの屋敷の一棟の一階			first floor of one building of mansion of Roylott		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
41	対象文	ヘレンは屋敷の一棟の1階に住んでいる			Helen lives on the first floor of one of the buildings			川村
	Type							川村
	情報源							川村
	hasPredicate	住む			live			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの屋敷の一棟の一階			first floor of one building of mansion of Roylott		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
42	対象文	ロイロットは屋敷の一棟の1階に住んでいる			Roylott lives on the first floor of one of the buildings			川村
	Type							川村
	情報源							川村
	hasPredicate	住む			live			川村
	主語/Who（誰が）	ロイロット			Roylott			川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの屋敷の一棟の一階			first floor of one building of mansion of Roylott			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
43	対象文	居間の隣はロイロットの寝室である			Next to the living bedroom is the bedroom of Roylott			川村
	Type							川村
	情報源							川村
	hasPredicate	存在する			exist			川村
	主語/Who（誰が）	ロイロットの寝室			bedroom of Roylott		Place	川村
	Whom（誰に）							川村
	next_to	居間の隣			living room		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
44	対象文	ロイロットの寝室の隣はジュリアの寝室である			Next to Roylott's bedroom is bedroom of Julia			川村
	Type							川村
	情報源							川村
	hasPredicate	存在する			exist			川村
	主語/Who（誰が）	ジュリアの寝室			bedroom of Julia		Place	川村
	Whom（誰に）							川村
	next_to	ロイロットの寝室の隣			bedroom of Roylott		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
45	対象文	ジュリアの寝室の隣はヘレンの寝室である			Next to bedroom of Julia is bedroom of Helen			川村
	Type							川村
	情報源							川村
	hasPredicate	存在する			exist			川村
	主語/Who（誰が）	ヘレンの寝室			bedroom of Helen		Place	川村
	Whom（誰に）							川村
	next_to	ジュリアの寝室の隣			bedroom of Julia		Place	川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
46	対象文	寝室間にドアはない			There is no door between bedrooms			川村
	Type							川村
	情報源							川村
	hasPredicate	not存在する			notExist			川村
	主語/Who（誰が）	ドア			door		Object	川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）	ロイロットの寝室			bedroom of Roylott		Place	川村
	To（どこへ）	ジュリアの寝室			bedroom of Julia		Place	川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
47	対象文	寝室間にドアはない			There is no door between bedrooms			川村
	Type							川村
	情報源							川村
	hasPredicate	not存在する			notExist			川村
	主語/Who（誰が）	ドア			door			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）	ジュリアの寝室			bedroom of Julia		Place	川村
	To（どこへ）	ヘレンの寝室			bedroom of Helen		Place	川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
48	対象文	全ての寝室は廊下に繋がる			All the bedrooms are connected to the hallway			川村
	Type							川村
	情報源							川村
	hasPredicate	存在する			exist			川村
	主語/Who（誰が）	ドア			door			川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの寝室			bedroom of Roylott			川村
	From（どこから）							川村
	To（どこへ）	廊下			corridor		Place	川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
49	対象文	全ての寝室は廊下に繋がる			All the bedrooms are connected to the hallway			川村
	Type							川村
	情報源							川村
	hasPredicate	存在する			exist			川村
	主語/Who（誰が）	ドア			door			川村
	Whom（誰に）							川村
	Where（どこで）	ジュリアの寝室			bedroom of Julia			川村
	From（どこから）							川村
	To（どこへ）	廊下			corridor			川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
50	対象文	全ての寝室は廊下に繋がる			All the bedrooms are connected to the hallway			川村
	Type							川村
	情報源							川村
	hasPredicate	存在する			exist			川村
	主語/Who（誰が）	ドア			door			川村
	Whom（誰に）							川村
	Where（どこで）	ヘレンの寝室			bedroom of Helen			川村
	From（どこから）							川村
	To（どこへ）	廊下			corridor			川村
	When（いつ）					1881-12-01T10		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
51	対象文	寝室からは庭が見える			You can see the garden from the bedroom			川村
	Type							川村
	情報源							川村
	hasPredicate	can見る			canSee			川村
	主語/Who（誰が）	人			man		Person	川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）	寝室			bedroom		Place	川村
	To（どこへ）							川村
	When（いつ）					1881-12-01T10		川村
	What（何を）	庭			garden of Roylott		Place	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
52	対象文	事件当夜，ロイロットは寝室に行った			On death day of Julia, Roylott went to the bedroom			川村
	Type							川村
	情報源							川村
	hasPredicate	行く			go			川村
	主語/Who（誰が）	ロイロット			Roylott			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）	ロイロットの寝室			bedroom of Roylott			川村
	When（いつ）	ジュリアの死亡日			death day of Julia	1881-12-01T20	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
53	対象文	ロイロットは寝室で起きていた（ジュリア想像）			Roylott was getting up in the bedroom (Julia imagination)			川村
	Type							川村
	情報源	〇〇の考え	ジュリア		Idea of Julia			川村
	hasPredicate	起きている			wakeUp			川村
	主語/Who（誰が）	ロイロット			Roylott			川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの寝室			bedroom of Roylott			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				death day of Julia	1881-12-01T20	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）	ジュリアはインドタバコの臭いに悩まされた		55	Julia suffered from the smell of Indian cigarettes			川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文	ジュリアはインドタバコの臭いに悩まされた	because	55	Julia suffered from the smell of Indian cigarettes			川村
54	対象文	ジュリアはヘレンの寝室に来た			Julia came to bedroom of Helen			川村
	Type							川村
	情報源							川村
	hasPredicate	来る			come			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）	ヘレンの寝室			bedroom of Helen			川村
	When（いつ）				death day of Julia	1881-12-01T22		川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	関連する文		because	55				川村
	関連する文		then	56				川村
55	対象文	ジュリアはインドタバコの臭いに悩まされた			Julia suffered from the smell of Indian cigarettes			川村
	Type							川村
	情報源							川村
	hasPredicate	嗅ぐ			smell			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）							川村
	Where（どこで）	ジュリアの寝室			bedroom of Julia			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				death day of Julia	1881-12-01T20		川村
	What（何を）	インドタバコの匂い			smell of Indian cigarettes			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
56	対象文	ヘレンはジュリアと結婚式について話す			Helen talks about Julia and her wedding			川村
	Type							川村
	情報源							川村
	hasPredicate	話す			talk			川村
	主語/Who（誰が）	ヘレン			Helen			川村
	Whom（誰に）	ジュリア			Julia			川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				death day of Julia	1881-12-01T23		川村
	What（何を）	ジュリアの結婚式			wedding ceremony of Julia		Object	川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文		then	57				川村
57	対象文	ジュリアは１１時に寝室に戻る			Julia returns to the bedroom at 11 o'clock			川村
	Type							川村
	情報源							川村
	hasPredicate	行く			go			川村
	主語/Who（誰が）	ジュリア			Julia			川村
